transaction_id,transaction_date,customer,product,region,revenue,cost_of_goods_sold,gross_margin_dollars,gross_margin_pct,transaction_month
TXN-1001,2026-01-05,Northstar Retail,Standard Widget,South,12500,8200,4300,0.3440,2026-01
TXN-1002,2026-01-08,Blue Ridge Supply,Premium Widget,Southeast,18400,11200,7200,0.3913,2026-01
TXN-1003,2026-01-11,Harbor Logistics,Service Kit,West,9200,6100,3100,0.3370,2026-01
TXN-1004,2026-01-16,Canyon Partners,Standard Widget,Southwest,14750,9800,4950,0.3356,2026-01
TXN-1005,2026-01-22,Evergreen Wholesale,Premium Widget,Midwest,21100,13750,7350,0.3483,2026-01
TXN-1006,2026-02-03,Northstar Retail,Standard Widget,South,13100,8750,4350,0.3321,2026-02
TXN-1007,2026-02-07,Blue Ridge Supply,Service Kit,Southeast,8800,5900,2900,0.3295,2026-02
TXN-1008,2026-02-12,Harbor Logistics,Premium Widget,West,19600,12800,6800,0.3469,2026-02
TXN-1009,2026-02-18,Canyon Partners,Standard Widget,Southwest,15200,10150,5050,0.3322,2026-02
TXN-1010,2026-02-24,Evergreen Wholesale,Service Kit,Midwest,7600,5300,2300,0.3026,2026-02
TXN-1011,2026-03-04,Northstar Retail,Premium Widget,South,22500,15100,7400,0.3289,2026-03
TXN-1012,2026-03-09,Blue Ridge Supply,Standard Widget,Southeast,14200,9300,4900,0.3451,2026-03
TXN-1013,2026-03-13,Harbor Logistics,Service Kit,West,9700,6400,3300,0.3402,2026-03
TXN-1014,2026-03-20,Canyon Partners,Premium Widget,Southwest,20600,13950,6650,0.3228,2026-03
TXN-1015,2026-03-27,Evergreen Wholesale,Standard Widget,Midwest,11900,7900,4000,0.3361,2026-03
TXN-1016,2026-04-02,Northstar Retail,Service Kit,South,8300,5700,2600,0.3133,2026-04
TXN-1017,2026-04-06,Blue Ridge Supply,Premium Widget,Southeast,21700,14900,6800,0.3134,2026-04
TXN-1018,2026-04-10,Harbor Logistics,Standard Widget,West,13800,9100,4700,0.3406,2026-04
TXN-1019,2026-04-14,Canyon Partners,Service Kit,Southwest,7900,5900,2000,0.2532,2026-04
TXN-1020,2026-04-18,Evergreen Wholesale,Premium Widget,Midwest,23600,15800,7800,0.3305,2026-04
TXN-1021,2026-04-22,Northstar Retail,Standard Widget,South,0,4200,-4200,,2026-04
TXN-1022,2026-04-25,Blue Ridge Supply,Service Kit,Southeast,9100,,,,2026-04
TXN-1023,2026-04-28,Harbor Logistics,Premium Widget,West,17500,18400,-900,-0.0514,2026-04
TXN-1024,2026-04-30,Canyon Partners,Standard Widget,Southwest,14900,-300,15200,1.0201,2026-04
TXN-1024,2026-04-30,Canyon Partners,Standard Widget,Southwest,14900,-300,15200,1.0201,2026-04
